Pt,Set1.x,Set2.x,Gm1.x,Gm2.x,Pts.x,Gm#,Charter First Serve,Charter Second Serve,Researcher First Serve,Researcher Second Serve
60,1,0,0,0,0-0,9,4fbw#,NA,4fiw#,NA
61,1,0,0,0,0-15,9,4d,4sbfn@,4d,4sbfn@
62,1,0,0,0,15-15,9,6*,NA,6*,NA
63,1,0,0,0,30-15,9,4w,4bd#,4w,4bd#
64,1,0,0,0,40-15,9,6s#,NA,6s#,NA
65,1,0,1,0,0-0,10,6son@,NA,6son@,NA
66,1,0,1,0,0-15,10,4x,5bbbssfffbbfbd@,4x,4bbbssfffbbfbd@
67,1,0,1,0,0-30,10,6n,6bff*,6n,6bff*
68,1,0,1,0,0-40,10,4d,5bbbfffbyf*,4w,4bbbfffbyf*
69,1,0,2,0,0-0,11,4d,4d,4d,4d
70,1,0,2,0,0-15,11,6fbfbfb#,NA,6bffbfb#,NA
71,1,0,2,0,0-30,11,6n,6bn#,6n,6bn#
72,1,0,2,0,15-30,11,5sfw@,NA,5sfw@,NA
73,1,0,2,0,15-40,11,5d,6bbfw#,5d,6bbh#
74,1,0,2,0,30-40,11,4n,5ssfbffffssfvbz*,4n,5ssfbffffsslobz*
75,1,0,2,0,40-40,11,c6sfbzf*,NA,6sfbzf*,NA
76,1,0,2,0,40-AD,11,4sfsfrn#,NA,4sfsfrn#,NA
77,1,0,2,0,40-40,11,6n,6bbffbbfffffsn#,6n,6bbffbbfffffs#
78,1,0,2,0,40-AD,11,5bd#,NA,5bd#,NA
79,1,0,2,0,40-40,11,6sbbbfw@,NA,5sbbbfw@,NA
80,1,0,2,0,AD-40,11,4sfssbsbbd@,NA,4sfssbsbbd@,NA
81,1,0,2,0,40-40,11,6d,5ffbfbfn@,6d,5ffbfbfn@
82,1,0,2,0,40-AD,11,5ssfbbbfbfbbbbfrfbd#,NA,4ssfbbbfbfbbbbfrfsd#,NA
83,1,0,2,0,40-40,11,6d,6bbbffffbffd@,6d,6bbbffffbffd#
84,1,0,2,0,40-AD,11,4w,5bbbffn#,4x,5bbbffn#
85,1,0,2,0,40-40,11,4fx#,NA,4fw#,NA
86,1,0,2,0,AD-40,11,4bfffbbn@,NA,4bfffbbn#,NA
87,1,0,2,0,40-40,11,c6d,6bb*,5d,6bb*
88,1,0,2,0,AD-40,11,5sfffffbd@,NA,5sfffffbd@,NA
