Pt,Set1,Set2,Gm1,Gm2,Pts,Gm (Pt),Serving,1st,2nd,Notes
80,0,1,0,0,0-0,1 (1),F,6d,5bbbbln#,
81,0,1,0,0,15-0,1 (2),F,6#,,
82,0,1,0,0,30-0,1 (3),F,6so*,,
83,0,1,0,0,40-0,1 (4),F,6*,,
84,0,1,1,0,0-0,2 (1),M,6sbsbbzn#,,
85,0,1,1,0,0-15,2 (2),M,6fffffbw@,,
86,0,1,1,0,0-30,2 (3),M,4fn#,,
87,0,1,1,0,15-30,2 (4),M,4sf*,,
88,0,1,1,0,30-30,2 (5),M,6n,6brd#,
89,0,1,1,0,30-40,2 (6),M,4w,4sbbw#,
90,0,1,1,0,40-40,2 (7),M,4fbspfd@,,
91,0,1,1,0,AD-40,2 (8),M,4w,4bbbffbbfffffssbfffn@,
92,0,1,1,0,40-40,2 (9),M,6w,5sbzn#,
93,0,1,1,0,AD-40,2 (10),M,6fffffsvfd#,,
94,0,1,1,0,40-40,2 (11),M,4fd#,,
95,0,1,1,0,AD-40,2 (12),M,4sf*,,
96,0,1,1,1,0-0,3 (1),F,4fd#,,
97,0,1,1,1,15-0,3 (2),F,4w,4bfd@,
98,0,1,1,1,15-15,3 (3),F,6sj*,,
99,0,1,1,1,30-15,3 (4),F,6fffffffw#,,
100,0,1,1,1,40-15,3 (5),F,4n,6d,
101,0,1,1,1,40-30,3 (6),F,4sslosd#,,
