Pt,Set1.x,Set2.x,Gm1.x,Gm2.x,Pts.x,Gm#,Charter First Serve,Charter Second Serve,Researcher First Serve,Researcher Second Serve
80,0,1,0,0,0-0,11,6d,5bbbbln#,6d,5bbbbln#
81,0,1,0,0,15-0,11,6#,NA,6#,NA
82,0,1,0,0,30-0,11,6so*,NA,6so*,NA
83,0,1,0,0,40-0,11,6*,NA,6*,NA
84,0,1,1,0,0-0,12,6sbsbbzn#,NA,6sbsbbzn#,NA
85,0,1,1,0,0-15,12,6ffffhbw@,NA,6fffffbw@,NA
86,0,1,1,0,0-30,12,4fn#,NA,4fn#,NA
87,0,1,1,0,15-30,12,4sf*,NA,4sf*,NA
88,0,1,1,0,30-30,12,6n,6brd#,6n,6brd#
89,0,1,1,0,30-40,12,4w,4sbiw#,4w,4sbbw#
90,0,1,1,0,40-40,12,4rbspfd#,NA,4fbspfd@,NA
91,0,1,1,0,AD-40,12,4n,5bbbfhbbfhfffssbfffn@,4w,4bbbffbbfffffssbfffn@
92,0,1,1,0,40-40,12,6w,6sbzn#,6w,5sbzn#
93,0,1,1,0,AD-40,12,6fffffsvrd#,NA,6fffffsvfd#,NA
94,0,1,1,0,40-40,12,4fd#,NA,4fd#,NA
95,0,1,1,0,AD-40,12,4sf*,NA,4sf*,NA
96,0,1,1,1,0-0,13,4fd#,NA,4fd#,NA
97,0,1,1,1,15-0,13,4w,4bfd@,4w,4bfd@
98,0,1,1,1,15-15,13,6sj*,NA,6sj*,NA
99,0,1,1,1,30-15,13,6fffffffn#,NA,6fffffffw#,NA
100,0,1,1,1,40-15,13,4n,6d,4n,6d
101,0,1,1,1,40-30,13,4sslomd#,NA,4sslosd#,NA
